label;variable;distribution;lower;median;upper;description
Vegetable machinery costs with government assistance (IDR/ha/year);vegetables_machinery_costs_with_gov_assistance;posnorm;0.8;;4;For fuel and operator wage
Vegetable labor costs (IDR/ha/year);vegetables_labor_costs;posnorm;20;;60;
Vegetable irrigation costs (IDR/ha/year);vegetables_irrigation_costs_first_year;posnorm;24;;114;Only for investement for the first year. In case the farmer need to purchase irrigation equipment (eg. pipe, water pump, etc.) by themselves.
Vegetable irrigation costs with government assistance (IDR/ha/year);vegetables_irrigation_costs_first_year_with_gov_assistance;posnorm;8;;16;Consider that government provide pipes and water pump for each farmer group. However farmers still need to pay forirrigation equipment maintenance cost and fuel.
Irrigation maintenance costs to be paid every season to farmers' group or P3A (IDR/year);irrigation_maintenance_costs;posnorm;0.0208;;0.1008;This is excluded irrigation equipment (pipes, hose, etc) maintenance costs. The payment is only for maintaining the irrigation channels and water pond
Water pump rent fee with government assistance (IDR/ha/year);water_pump_rent_fee_with_gov_assistance;posnorm;0.24;;0.6;
Tomato sauce price (IDR/kg);tomato_sauce_price;posnorm;0.008;;0.01;
Chili sauce price (IDR/kg);chili_sauce_price;posnorm;0.0096;;0.016;
Compost bin costs (IDR);compost_bin_cost;posnorm;0.5;;0.98;
Compost bin costs with government assistance (IDR);compost_bin_cost_with_gov_assistance;posnorm;0.24;;0.48;
Composter equipment and maintenance costs (IDR/year);composter_equipment_cost;posnorm;0.32;;0.64;
Composter equipment and maintenance costs with government assistance (IDR/year);composter_equipment_cost_with_gov_assistance;posnorm;0.16;;0.32;
Compost activator cost (IDR/litre);compost_activator_cost;posnorm;0.0272;;0.0304;
Composter maintenance costs (IDR/year);composter_maintenance_cost;posnorm;0.096;;0.24;
Manure as additional ingredients for compost (IDR/year);manure_for_compost_cost;posnorm;0.096;;0.208;
Vegetable processing equipment and maintenance cost (IDR/year);vegetable_processing_equipment_maintenance_cost;posnorm;0.512;;0.8;
Vegetable storage equipment maintenance cost (IDR/year);vegetable_storage_maintenance_cost;posnorm;0.8;;2;
Vegetable processing building facility cost (IDR/year) (increament costs for 10 years);vegetable_processing_building_facility_cost;posnorm;8;;16;Increament costs for 10 years
Vegetable processing equipment procurement cost (IDR/year) (increament costs for 10 years);vegetable_processing_equipment_procurement_cost;posnorm;8;;12.8;Increament costs for 10 years. Purchased in the first year
Vegetable processing storage equipment procurement cost (IDR/year) (increament costs for 10 years);vegetable_processing_storage_equipment_procurement_cost;posnorm;1.6;;3.2;Increament costs for 10 years.Purchased in the first year. (Maybe just include this to equipment?)
Marketing and distribution for processed vegetable product (IDR/year);marketing_and_distribution_for_vegetable_product;posnorm;0.24;;0.512;
Daily labor cost (IDR/day);daily_labor_cost;posnorm;0.08;;0.144;
Marketing and promotion for ecotourims cost (IDR/year);marketing_and_promotion_ecotourism;posnorm;0.24;;0.512;
Annual cost for agrotourism (IDR/year);annual_cost_agrotourism;posnorm;0.96;;3.2;
Signage installation (IDR);sign_installation_cost;posnorm;0.512;;1.008;
Annual vegetable yield (kg/ha);annual_vegetables_yield;posnorm;160;;1120;
Average vegetables price in the market (IDR/kg);average_vegetables_price_market;posnorm;0.0048;;0.056;
Annual vegetables consumption per person (kg/year);annual_vegs_consumption_per_person;posnorm;0.64;;0.8;
Range bank loan for farmers (IDR);range_loan_for_farmers;posnorm;10;;50;
Annual bank interest rate (%);annual_bank_interest;tnorm_0_1;0.06;;0.09;
Chance of farmers to take loan (%);chance_farmers_take_loan;tnorm_0_1;0.01;;0.05;
Estimated portion of low grade of vegetable products (%);portion_low_grade_vegetable_product;tnorm_0_1;0.01;;0.1;
Estimated portion of rice farming input costs for pest and disease management (%);portion_rice_farming_input_cost_for_pest_disease_management;tnorm_0_1;0.01;;0.05;
Estimated portion of vegetable farming input costs for pest and disease management (%);portion_vegetable_farming_input_cost_for_pest_disease_management;tnorm_0_1;0.1;;0.2;
Chance of production risk (%);chance_production_risk;tnorm_0_1;0.01;;0.1;
Damage from production risk on rice (%);prob_damage_production_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from production risk on vegetables (%);prob_damage_production_risk_vegetables;tnorm_0_1;0.05;;0.3;
Chance of market risk on rice (%);chance_market_risk_rice;tnorm_0_1;0.01;;0.1;
Chance of market risk on vegetables (%);chance_market_risk_vegetables;tnorm_0_1;0.1;;0.2;
Damage from market risk on rice (%);prob_damage_market_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from market risk on vegetables (%);prob_damage_market_risk_vegetables;tnorm_0_1;0.1;;0.3;
Chance of financial risk on rice (%);chance_financial_risk_rice;tnorm_0_1;0.01;;0.05;
Chance of financial risk on vegetables (%);chance_financial_risk_vegetables;tnorm_0_1;0.05;;0.1;
Damage from financial risk on rice (%);prob_damage_financial_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from financial risk on vegetables (%);prob_damage_financial_risk_vegetables;tnorm_0_1;0.01;;0.1;
Chance of institutional risk (%);chance_institutional_risk;tnorm_0_1;0.01;;0.1;
Damage from institutional risk on rice (%);prob_damage_institutional_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from institutional risk on vegetables (%);prob_damage_institutional_risk_vegetables;tnorm_0_1;0.05;;0.3;
Probability of farmers do compost (%);prob_of_compost;tnorm_0_1;0.02;;0.08;
Probability of farmers do processing vegetables (%);prob_of_processing_vegetables;tnorm_0_1;0.01;;0.05;
Probability of farmers do ecotourism (%);prob_of_agrotourism;tnorm_0_1;0.01;;0.05;
Estimated portion of rice biomass waste increase due to production risk (%);rice_biomass_increase_from_production_risk;tnorm_0_1;0.05;;0.1;
Estimated portion of vegetables biomass waste increase due to production risk (%);vegetable_biomass_increase_from_production_risk;tnorm_0_1;0.01;;0.1;
Estimated portion compost resulted from biomass waste (%);portion_compost_result_from_biomass_waste;tnorm_0_1;0.3;;0.6;
Chance of rice price loss from market risk (%);chance_rice_price_loss_market_risk;tnorm_0_1;0.01;;0.05;
Chance of vegetable price loss from market risk (%);chance_vegetable_price_loss_market_risk;tnorm_0_1;0.1;;0.3;
Compost income loss from market risk (%);compost_income_loss_market_risk;tnorm_0_1;0.5;;0.9;
Estimated portion of vegetable processed product income loss from market risk (%);vegetable_processed_income_loss_market_risk;tnorm_0_1;0.2;;0.6;
Estimated portion of compost loss revenue (%);portion_compost_loss_revenue;tnorm_0_1;0.05;;0.1;
Chance of market risk compost (%);chance_market_risk_compost;tnorm_0_1;0.1;;0.5;
Chance of market risk vegetable processed (%);chance_market_risk_vegetable_processed;tnorm_0_1;0.1;;0.3;
Chance of farmers consume their own vegetables (%);chance_consume_own_vegetables;tnorm_0_1;0.4;;0.8;
Rice cultural value proxy of quality or satisfaction (IDR/kg);rice_cultural_value_proxy_quality_and_satisfaction;posnorm;0.33;;0.43;We use the difference between common rice price in the region and the most premium/expensive rice in Indonesia
Rice cultural value proxy of local identity or pride (IDR/kg);rice_cultural_value_proxy_local_identity;posnorm;0.3125;;0.625;We consider about the future without rice in this region. Then, people need to purchase rice from outside the region with higher price of course, of course including transportation costs)
Rice cultural value proxy of local cultural practice (tudang sipulung);rice_cultural_value_proxy_local_cultural_practice_tudang_sipulung;tnorm_0_1;0.05;;0.1;"We consider that there are more benefits for farmers If they keep doing this local practice, especially related to the efficiency of crop management. For example: lower cost for crop protection (because with this practice, farmers can arrange the farming schedule together and more efficiently among farmers. And according to farmers, with this, they can manage the season bettter and also avoid high risk of failure due to pest and disease.
So maybe we can estimate that like with this practice, we can expect that the crop management costs (excluding labos costs) can be lower up to 5-10% if compared to without this practice (?) like in vegs farming. So we can use the difference as the value for this, I think..."
Rice cultural value proxy of local cultural practice (gotong royong);rice_cultural_value_proxy_local_cultural_practice_gotong_royong;tnorm_0_1;0.1;;0.35;We can estimate this by expecting that the labr costs can be lower up to 10-35% if compared to normal daily wages for vegs farming. So we can also use the difference as the value for this, I think..
