label;variable;distribution;lower;median;upper;description
Vegetable labor costs (USD/ha/year);vegetables_labor_costs;posnorm;1250;;3750;
Vegetable irrigation costs (USD/ha/year);vegetables_irrigation_costs_first_year;posnorm;1500;;7125;Only for investement for the first year. In case the farmer need to purchase irrigation equipment (eg. pipe, water pump, etc.) by themselves.
Vegetable irrigation costs with government assistance (USD/ha/year);vegetables_irrigation_costs_first_year_with_gov_assistance;posnorm;500;;1000;Consider that government provide pipes and water pump for each farmer group. However farmers still need to pay forirrigation equipment maintenance cost and fuel.
Irrigation maintenance costs to be paid every season to farmers' group or P3A (USD/year);irrigation_maintenance_costs;posnorm;1.3;;6.3;This is excluded irrigation equipment (pipes, hose, etc) maintenance costs. The payment is only for maintaining the irrigation channels and water pond
Water pump rent fee with government assistance (USD/ha/year);water_pump_rent_fee_with_gov_assistance;posnorm;15;;37.5;
Tomato sauce price (IDR/kg);tomato_sauce_price;posnorm;0.5;;0.625;
Chili sauce price (IDR/kg);chili_sauce_price;posnorm;0.6;;1;
Compost bin costs (USD);compost_bin_cost;posnorm;31.25;;61.25;
Compost bin costs with government assistance (USD);compost_bin_cost_with_gov_assistance;posnorm;15;;30;
Composter equipment and maintenance costs (USD/year);composter_equipment_cost;posnorm;20;;40;
Composter equipment and maintenance costs with government assistance (USD/year);composter_equipment_cost_with_gov_assistance;posnorm;10;;20;
Compost activator cost (USD/litre);compost_activator_cost;posnorm;1.7;;1.9;
Composter maintenance costs (USD/year);composter_maintenance_cost;posnorm;6;;15;
Manure as additional ingredients for compost (USD/year);manure_for_compost_cost;posnorm;6;;13;
Vegetable processing equipment and maintenance cost (USD/year);vegetable_processing_equipment_maintenance_cost;posnorm;32;;50;
Vegetable storage equipment maintenance cost (USD/year);vegetable_storage_maintenance_cost;posnorm;50;;125;
Vegetable processing building facility cost (USD/year) (increament costs for 10 years);vegetable_processing_building_facility_cost;posnorm;500;;1000;Increament costs for 10 years
Vegetable processing equipment procurement cost (USD/year) (increament costs for 10 years);vegetable_processing_equipment_procurement_cost;posnorm;500;;800;Increament costs for 10 years. Purchased in the first year
Vegetable processing storage equipment procurement cost (USD/year) (increament costs for 10 years);vegetable_processing_storage_equipment_procurement_cost;posnorm;100;;200;Increament costs for 10 years.Purchased in the first year. (Maybe just include this to equipment?)
Marketing and distribution for processed vegetable product (USD/year);marketing_and_distribution_for_vegetable_product;posnorm;15;;32;
Daily labor cost (USD/day);daily_labor_cost;posnorm;5;;9;
Marketing and promotion for ecotourims cost (USD/year);marketing_and_promotion_ecotourism;posnorm;15;;32;
Annual cost for agrotourism (USD/year);annual_cost_agrotourism;posnorm;60;;200;
Signage installation (USD);sign_installation_cost;posnorm;32;;63;
Annual vegetable yield (kg/ha);annual_vegetables_yield;posnorm;10000;;70000;
Average vegetables price in the market (USD/kg);average_vegetables_price_market;posnorm;0.3;;3.5;
Annual vegetables consumption per person (kg/year);annual_vegs_consumption_per_person;posnorm;40;;50;
Range bank loan for farmers (USD);range_loan_for_farmers;posnorm;625;;3125;
Annual bank interest rate (%);annual_bank_interest;tnorm_0_1;0.06;;0.09;
Chance of farmers to take loan (%);chance_farmers_take_loan;tnorm_0_1;0.01;;0.05;
Estimated portion of low grade of vegetable products (%);portion_low_grade_vegetable_product;tnorm_0_1;0.01;;0.1;
Estimated portion of rice farming input costs for pest and disease management (%);portion_rice_farming_input_cost_for_pest_disease_management;tnorm_0_1;0.01;;0.05;
Estimated portion of vegetable farming input costs for pest and disease management (%);portion_vegetable_farming_input_cost_for_pest_disease_management;tnorm_0_1;0.1;;0.2;
Chance of production risk (%);chance_production_risk;tnorm_0_1;0.01;;0.1;
Damage from production risk on rice (%);prob_damage_production_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from production risk on vegetables (%);prob_damage_production_risk_vegetables;tnorm_0_1;0.05;;0.3;
Chance of market risk on rice (%);chance_market_risk_rice;tnorm_0_1;0.01;;0.1;
Chance of market risk on vegetables (%);chance_market_risk_vegetables;tnorm_0_1;0.1;;0.2;
Damage from market risk on rice (%);prob_damage_market_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from market risk on vegetables (%);prob_damage_market_risk_vegetables;tnorm_0_1;0.1;;0.3;
Chance of financial risk on rice (%);chance_financial_risk_rice;tnorm_0_1;0.01;;0.05;
Chance of financial risk on vegetables (%);chance_financial_risk_vegetables;tnorm_0_1;0.05;;0.1;
Damage from financial risk on rice (%);prob_damage_financial_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from financial risk on vegetables (%);prob_damage_financial_risk_vegetables;tnorm_0_1;0.01;;0.1;
Chance of institutional risk (%);chance_institutional_risk;tnorm_0_1;0.01;;0.1;
Damage from institutional risk on rice (%);prob_damage_institutional_risk_rice;tnorm_0_1;0.01;;0.05;
Damage from institutional risk on vegetables (%);prob_damage_institutional_risk_vegetables;tnorm_0_1;0.05;;0.3;
Probability of farmers do compost (%);prob_of_compost;tnorm_0_1;0.02;;0.08;
Probability of farmers do processing vegetables (%);prob_of_processing_vegetables;tnorm_0_1;0.01;;0.05;
Probability of farmers do ecotourism (%);prob_of_agrotourism;tnorm_0_1;0.01;;0.05;
Estimated portion of rice biomass waste increase due to production risk (%);rice_biomass_increase_from_production_risk;tnorm_0_1;0.05;;0.1;
Estimated portion of vegetables biomass waste increase due to production risk (%);vegetable_biomass_increase_from_production_risk;tnorm_0_1;0.01;;0.1;
Chance of rice price loss from market risk (%);chance_rice_price_loss_market_risk;tnorm_0_1;0.01;;0.05;
Chance of vegetable price loss from market risk (%);chance_vegetable_price_loss_market_risk;tnorm_0_1;0.1;;0.3;
Compost income loss from market risk (%);compost_income_loss_market_risk;tnorm_0_1;0.5;;0.9;
Estimated portion of vegetable processed product income loss from market risk (%);vegetable_processed_income_loss_market_risk;tnorm_0_1;0.2;;0.6;
Estimated portion of compost loss revenue (%);portion_compost_loss_revenue;tnorm_0_1;0.05;;0.1;
Chance of market risk compost (%);chance_market_risk_compost;tnorm_0_1;0.1;;0.5;
Chance of market risk vegetable processed (%);chance_market_risk_vegetable_processed;tnorm_0_1;0.1;;0.3;
Chance of farmers consume their own vegetables (%);chance_consume_own_vegetables;tnorm_0_1;0.4;;0.8;
